Paid At일	측정값 이름	측정값
2023년 2월 5일	Old	1,430,900.00
2023년 2월 6일	Old	2,389,900.00
2023년 2월 7일	Old	1,894,000.00
2023년 2월 8일	Old	1,551,000.00
2023년 2월 9일	Old	2,986,025.00
2023년 2월 10일	Old	1,398,500.00
2023년 2월 11일	Old	765,600.00
2023년 2월 12일	Old	873,200.00
2023년 2월 13일	Old	4,295,420.00
2023년 2월 14일	Old	2,865,900.00
2023년 2월 15일	Old	2,012,100.00
2023년 2월 16일	Old	2,311,900.00
2023년 2월 17일	Old	744,900.00
2023년 2월 18일	Old	1,007,500.00
2023년 2월 19일	Old	1,364,800.00
2023년 2월 20일	Old	956,900.00
2023년 2월 21일	Old	2,536,500.00
2023년 2월 22일	Old	1,966,200.00
2023년 2월 23일	Old	2,194,100.00
2023년 2월 24일	Old	1,376,300.00
2023년 2월 25일	Old	2,139,100.00
2023년 2월 26일	Old	1,724,600.00
2023년 2월 27일	Old	2,324,700.00
2023년 2월 28일	Old	1,704,600.00
2023년 3월 1일	Old	1,239,300.00
2023년 3월 2일	Old	1,368,125.00
2023년 3월 3일	Old	2,435,500.00
2023년 3월 4일	Old	740,500.00
2023년 3월 5일	Old	903,500.00
2023년 3월 6일	Old	1,767,500.00
2023년 3월 7일	Old	2,124,000.00
2023년 3월 8일	Old	3,247,500.00
2023년 3월 9일	Old	945,500.00
2023년 3월 10일	Old	1,356,000.00
2023년 3월 11일	Old	1,038,000.00
2023년 3월 12일	Old	1,655,500.00
2023년 3월 13일	Old	454,000.00
2022년 10월 1일	M1	2,070,000.00
2022년 10월 2일	M1	1,173,000.00
2022년 10월 3일	M1	1,407,000.00
2022년 10월 4일	M1	1,518,000.00
2022년 10월 5일	M1	759,000.00
2022년 10월 6일	M1	2,037,800.00
2022년 10월 7일	M1	504,000.00
2022년 10월 8일	M1	594,000.00
2022년 10월 9일	M1	138,000.00
2022년 10월 10일	M1	207,000.00
2022년 10월 11일	M1	414,000.00
2022년 10월 12일	M1	1,492,850.00
2022년 10월 13일	M1	2,131,800.00
2022년 10월 14일	M1	207,000.00
2022년 10월 15일	M1	0.00
2022년 10월 16일	M1	0.00
2022년 10월 17일	M1	996,000.00
2022년 10월 18일	M1	734,000.00
2022년 10월 19일	M1	927,000.00
2022년 10월 20일	M1	1,467,000.00
2022년 10월 21일	M1	159,000.00
2022년 10월 22일	M1	387,000.00
2022년 10월 23일	M1	0.00
2022년 10월 24일	M1	858,000.00
2022년 10월 25일	M1	441,000.00
2022년 10월 26일	M1	69,000.00
2022년 10월 27일	M1	234,730.00
2022년 10월 28일	M1	801,230.00
2022년 10월 29일	M1	0.00
2022년 10월 30일	M1	0.00
2022년 10월 31일	M1	0.00
2022년 11월 1일	M1	1,242,000.00
2022년 11월 2일	M1	1,035,000.00
2022년 11월 3일	M1	2,829,000.00
2022년 11월 4일	M1	1,635,000.00
2022년 11월 5일	M1	717,000.00
2022년 11월 6일	M1	690,000.00
2022년 11월 7일	M1	552,000.00
2022년 11월 8일	M1	414,000.00
2022년 11월 9일	M1	669,000.00
2022년 11월 10일	M1	759,000.00
2022년 11월 11일	M1	483,000.00
2022년 11월 12일	M1	234,000.00
2022년 11월 13일	M1	207,000.00
2022년 11월 14일	M1	345,000.00
2022년 11월 15일	M1	138,000.00
2022년 11월 16일	M1	441,000.00
2022년 11월 17일	M1	276,000.00
2022년 11월 18일	M1	414,000.00
2022년 11월 19일	M1	213,000.00
2022년 11월 20일	M1	0.00
2022년 11월 21일	M1	186,000.00
2022년 11월 22일	M1	0.00
2022년 11월 23일	M1	165,000.00
2022년 11월 24일	M1	48,000.00
2022년 11월 25일	M1	0.00
2022년 11월 26일	M1	144,000.00
2022년 11월 27일	M1	0.00
2022년 11월 28일	M1	0.00
2022년 11월 29일	M1	0.00
2022년 11월 30일	M1	48,000.00
2022년 12월 1일	M1	1,278,200.00
2022년 12월 2일	M1	4,149,400.00
2022년 12월 3일	M1	2,220,900.00
2022년 12월 4일	M1	1,495,900.00
2022년 12월 5일	M1	2,372,500.00
2022년 12월 6일	M1	2,196,700.00
2022년 12월 7일	M1	1,443,900.00
2022년 12월 8일	M1	3,361,300.00
2022년 12월 9일	M1	907,070.00
2022년 12월 10일	M1	2,096,100.00
2022년 12월 11일	M1	2,132,700.00
2022년 12월 12일	M1	1,133,700.00
2022년 12월 13일	M1	925,400.00
2022년 12월 14일	M1	2,560,720.00
2022년 12월 15일	M1	3,075,900.00
2022년 12월 16일	M1	2,172,000.00
2022년 12월 17일	M1	405,000.00
2022년 12월 18일	M1	3,715,900.00
2022년 12월 19일	M1	6,193,020.00
2022년 12월 20일	M1	1,154,700.00
2022년 12월 21일	M1	540,000.00
2022년 12월 22일	M1	1,090,000.00
2022년 12월 23일	M1	390,000.00
2022년 12월 24일	M1	1,305,000.00
2022년 12월 25일	M1	229,000.00
2022년 12월 26일	M1	1,620,000.00
2022년 12월 27일	M1	1,210,000.00
2022년 12월 28일	M1	1,028,000.00
2022년 12월 29일	M1	788,000.00
2022년 12월 30일	M1	570,000.00
2022년 12월 31일	M1	195,000.00
2023년 1월 1일	M1	756,000.00
2023년 1월 2일	M1	699,000.00
2023년 1월 3일	M1	746,000.00
2023년 1월 4일	M1	921,600.00
2023년 1월 5일	M1	1,635,900.00
2023년 1월 6일	M1	39,900.00
2023년 1월 7일	M1	420,900.00
2023년 1월 8일	M1	0.00
2023년 1월 9일	M1	39,900.00
2023년 1월 10일	M1	762,000.00
2023년 1월 11일	M1	381,000.00
2023년 1월 12일	M1	119,700.00
2023년 1월 13일	M1	881,000.00
2023년 1월 14일	M1	0.00
2023년 1월 15일	M1	0.00
2023년 1월 16일	M1	501,900.00
2023년 1월 17일	M1	39,900.00
2023년 1월 18일	M1	607,500.00
2023년 1월 19일	M1	39,900.00
2023년 1월 20일	M1	594,840.00
2023년 1월 21일	M1	15,000.00
2023년 1월 22일	M1	39,900.00
2023년 1월 23일	M1	0.00
2023년 1월 24일	M1	540,000.00
2023년 1월 25일	M1	192,000.00
2023년 1월 26일	M1	0.00
2023년 1월 27일	M1	184,800.00
2023년 1월 28일	M1	621,960.00
2023년 1월 29일	M1	0.00
2023년 1월 30일	M1	79,800.00
2023년 1월 31일	M1	384,000.00
2023년 2월 1일	M1	18,000.00
2023년 2월 2일	M1	0.00
2023년 2월 3일	M1	1,240,000.00
2023년 2월 4일	M1	652,500.00
2023년 2월 5일	M1	648,000.00
2023년 2월 6일	M1	295,000.00
2023년 2월 7일	M1	27,000.00
2023년 2월 8일	M1	1,470,000.00
2023년 2월 9일	M1	508,000.00
2023년 2월 10일	M1	1,017,000.00
2023년 2월 11일	M1	0.00
2023년 2월 12일	M1	476,000.00
2023년 2월 13일	M1	18,000.00
2023년 2월 14일	M1	0.00
2023년 2월 15일	M1	433,000.00
2023년 2월 16일	M1	1,339,000.00
2023년 2월 17일	M1	855,000.00
2023년 2월 18일	M1	291,000.00
2023년 2월 19일	M1	0.00
2023년 2월 20일	M1	416,000.00
2023년 2월 21일	M1	682,000.00
2023년 2월 22일	M1	147,000.00
2023년 2월 23일	M1	852,000.00
2023년 2월 24일	M1	292,000.00
2023년 2월 25일	M1	0.00
2023년 2월 26일	M1	378,000.00
2023년 2월 27일	M1	0.00
2023년 2월 28일	M1	37,000.00
2023년 3월 1일	M1	665,000.00
2023년 3월 2일	M1	4,845,500.00
2023년 3월 3일	M1	1,419,000.00
2023년 3월 4일	M1	533,000.00
2023년 3월 5일	M1	1,023,000.00
2023년 3월 6일	M1	4,704,000.00
2023년 3월 7일	M1	2,095,000.00
2023년 3월 8일	M1	1,922,000.00
2023년 3월 9일	M1	1,344,500.00
2023년 3월 10일	M1	1,823,500.00
2023년 3월 11일	M1	497,000.00
2023년 3월 12일	M1	712,000.00
2023년 3월 13일	M1	0.00
2022년 10월 1일	M0	0.00
2022년 10월 2일	M0	0.00
2022년 10월 3일	M0	0.00
2022년 10월 4일	M0	0.00
2022년 10월 5일	M0	0.00
2022년 10월 6일	M0	0.00
2022년 10월 7일	M0	0.00
2022년 10월 8일	M0	0.00
2022년 10월 9일	M0	0.00
2022년 10월 10일	M0	0.00
2022년 10월 11일	M0	0.00
2022년 10월 12일	M0	0.00
2022년 10월 13일	M0	0.00
2022년 10월 14일	M0	0.00
2022년 10월 15일	M0	0.00
2022년 10월 16일	M0	0.00
2022년 10월 17일	M0	116,000.00
2022년 10월 18일	M0	45,000.00
2022년 10월 19일	M0	60,000.00
2022년 10월 20일	M0	150,000.00
2022년 10월 21일	M0	168,000.00
2022년 10월 22일	M0	30,000.00
2022년 10월 23일	M0	0.00
2022년 10월 24일	M0	108,000.00
2022년 10월 25일	M0	150,000.00
2022년 10월 26일	M0	0.00
2022년 10월 27일	M0	414,000.00
2022년 10월 28일	M0	3,795,000.00
2022년 10월 29일	M0	1,656,000.00
2022년 10월 30일	M0	759,000.00
2022년 10월 31일	M0	1,311,000.00
2022년 11월 1일	M0	0.00
2022년 11월 2일	M0	0.00
2022년 11월 3일	M0	0.00
2022년 11월 4일	M0	0.00
2022년 11월 5일	M0	0.00
2022년 11월 6일	M0	0.00
2022년 11월 7일	M0	0.00
2022년 11월 8일	M0	0.00
2022년 11월 9일	M0	0.00
2022년 11월 10일	M0	0.00
2022년 11월 11일	M0	0.00
2022년 11월 12일	M0	0.00
2022년 11월 13일	M0	0.00
2022년 11월 14일	M0	0.00
2022년 11월 15일	M0	0.00
2022년 11월 16일	M0	0.00
2022년 11월 17일	M0	158,000.00
2022년 11월 18일	M0	1,659,000.00
2022년 11월 19일	M0	158,000.00
2022년 11월 20일	M0	632,000.00
2022년 11월 21일	M0	158,000.00
2022년 11월 22일	M0	237,000.00
2022년 11월 23일	M0	553,000.00
2022년 11월 24일	M0	316,000.00
2022년 11월 25일	M0	711,000.00
2022년 11월 26일	M0	79,000.00
2022년 11월 27일	M0	158,000.00
2022년 11월 28일	M0	474,000.00
